Animal ID,Outcome Date,Outcome Type,Age upon Outcomes(years)
A794011,2019-05-08,Adoption or RTO,2.0
A674754,2014-03-18,Transfer,0.0
A689724,2014-10-18,Adoption or RTO,0.0
A680969,2014-08-05,Adoption or RTO,0.0
A684617,2014-07-27,Transfer,2.0
A742354,2017-01-22,Adoption or RTO,7.0
A681036,2014-06-11,Transfer,0.0
A803149,2019-08-31,Transfer,0.0
A698049,2015-03-16,Transfer,0.0
A773792,2018-06-05,Euthanasia,0.0
A730621,2016-09-10,Adoption or RTO,0.0
A758536,2017-09-23,Transfer,0.0
A801106,2019-08-16,Adoption or RTO,0.0
A699884,2015-04-03,Euthanasia,2.0
A707743,2015-07-18,Transfer,0.0
A791163,2019-03-24,Died or Missing,0.0
A792258,2019-04-10,Adoption or RTO,2.0
A705205,2015-06-20,Adoption or RTO,0.0
A702919,2015-05-21,Transfer,0.0
A696409,2015-02-09,Adoption or RTO,0.0
A688758,2014-09-23,Transfer,0.0
A778589,2018-09-26,Adoption or RTO,0.0
A643424,2015-10-30,Adoption or RTO,5.0
A748126,2017-05-15,Transfer,1.0
A657197,2013-10-09,Adoption or RTO,0.0
A783412,2018-12-16,Adoption or RTO,10.0
A686459,2014-09-21,Adoption or RTO,0.0
A799580,2019-08-19,Adoption or RTO,0.0
A671125,2014-01-20,Adoption or RTO,0.0
A697910,2015-06-23,Adoption or RTO,2.0
A687056,2014-08-31,Transfer,0.0
A666111,2013-10-29,Adoption or RTO,0.0
A718784,2016-01-12,Adoption or RTO,0.0
A824550,2020-10-16,Transfer,0.0
A791899,2019-04-05,Transfer,1.0
A725540,2016-05-02,Transfer,0.0
A782089,2018-10-10,Euthanasia,2.0
A739966,2017-02-10,Adoption or RTO,0.0
A729355,2016-06-24,Transfer,0.0
A687681,2014-09-08,Transfer,0.0
A801634,2019-10-15,Adoption or RTO,0.0
A771760,2018-05-12,Transfer,1.0
A747746,2017-05-28,Adoption or RTO,1.0
A697903,2015-03-04,Transfer,0.0
A676139,2017-03-08,Adoption or RTO,8.0
A676256,2014-04-07,Adoption or RTO,15.0
A774385,2018-06-30,Adoption or RTO,0.0
A771075,2018-06-23,Adoption or RTO,0.0
A726827,2017-05-29,Adoption or RTO,1.0
A662741,2013-10-05,Transfer,0.0
A796941,2019-08-03,Adoption or RTO,0.0
A731104,2016-09-20,Adoption or RTO,0.0
A771103,2018-06-23,Adoption or RTO,0.0
A777152,2018-07-24,Transfer,0.0
A706245,2015-06-26,Transfer,0.0
A732051,2016-08-08,Transfer,0.0
A744629,2017-03-15,Adoption or RTO,5.0
A720562,2016-02-21,Adoption or RTO,4.0
A761895,2017-11-18,Adoption or RTO,0.0
A729037,2016-07-01,Adoption or RTO,0.0
A797068,2019-06-15,Adoption or RTO,2.0
A773488,2018-07-25,Adoption or RTO,0.0
A697608,2015-02-27,Adoption or RTO,0.0
A753292,2017-07-05,Adoption or RTO,16.0
A753146,2017-08-05,Adoption or RTO,0.0
A664661,2013-10-13,Adoption or RTO,0.0
A738706,2016-11-20,Transfer,2.0
A790939,2019-03-19,Transfer,0.0
A754460,2017-07-25,Transfer,0.0
A752298,2017-08-15,Adoption or RTO,8.0
A736221,2016-10-07,Euthanasia,2.0
A702402,2015-07-08,Adoption or RTO,0.0
A729769,2016-07-03,Adoption or RTO,1.0
A711270,2015-10-22,Transfer,1.0
A827274,2020-12-30,Transfer,0.0
A826220,2020-11-22,Transfer,0.0
A742748,2018-06-23,Adoption or RTO,11.0
A793783,2019-07-13,Adoption or RTO,0.0
A799586,2019-07-14,Transfer,2.0
A779909,2018-09-11,Transfer,2.0
A823496,2020-11-03,Adoption or RTO,0.0
A820871,2020-07-31,Transfer,0.0
A736505,2016-11-20,Adoption or RTO,0.0
A819006,2020-08-11,Adoption or RTO,2.0
A754796,2017-09-30,Adoption or RTO,0.0
A688756,2014-09-27,Adoption or RTO,0.0
A816306,2020-06-17,Adoption or RTO,0.0
A787658,2019-03-11,Transfer,2.0
A684828,2014-07-30,Transfer,0.0
A749133,2020-08-01,Adoption or RTO,3.0
A692765,2014-12-02,Euthanasia,0.0
A774672,2018-07-15,Adoption or RTO,0.0
A681907,2014-06-28,Adoption or RTO,0.0
A795465,2019-06-01,Adoption or RTO,0.0
A808052,2019-12-03,Adoption or RTO,0.0
A823494,2020-11-03,Adoption or RTO,0.0
A760496,2017-12-30,Adoption or RTO,0.0
A736523,2016-11-03,Adoption or RTO,1.0
A811845,2020-01-22,Adoption or RTO,15.0
A737112,2016-10-23,Transfer,1.0
A749348,2017-07-12,Adoption or RTO,0.0
A678083,2014-07-12,Adoption or RTO,0.0
A769669,2018-04-12,Transfer,2.0
A812889,2020-02-01,Adoption or RTO,0.0
A794634,2019-07-11,Adoption or RTO,0.0
A703672,2016-04-13,Transfer,1.0
A715807,2016-01-15,Adoption or RTO,0.0
A793307,2019-04-24,Adoption or RTO,0.0
A805212,2019-10-22,Adoption or RTO,0.0
A686100,2014-08-20,Adoption or RTO,0.0
A801848,2019-09-26,Adoption or RTO,0.0
A818385,2020-06-08,Adoption or RTO,0.0
A732882,2016-08-14,Euthanasia,2.0
A685507,2014-08-08,Transfer,0.0
A813099,2020-02-08,Transfer,1.0
A692842,2014-12-04,Transfer,0.0
A817291,2020-08-08,Adoption or RTO,0.0
A676453,2014-04-11,Transfer,0.0
A778049,2018-08-18,Adoption or RTO,0.0
A700785,2015-04-19,Transfer,0.0
A823793,2020-10-23,Transfer,0.0
A645112,2016-10-27,Transfer,13.0
A805358,2019-09-27,Adoption or RTO,0.0
A489503,2014-09-21,Euthanasia,7.0
A819251,2020-08-04,Adoption or RTO,0.0
A732077,2016-08-01,Transfer,0.0
A791765,2019-06-22,Adoption or RTO,0.0
A794072,2019-05-03,Transfer,0.0
A818535,2020-06-11,Transfer,12.0
A671944,2014-02-01,Euthanasia,0.0
A824403,2020-10-15,Transfer,1.0
A799938,2019-08-13,Transfer,0.0
A677835,2014-07-12,Adoption or RTO,1.0
A732207,2016-08-05,Transfer,0.0
A749460,2017-07-17,Adoption or RTO,1.0
A817618,2020-06-24,Adoption or RTO,0.0
A748827,2017-05-08,Transfer,0.0
A685214,2014-08-26,Adoption or RTO,0.0
A678968,2014-05-14,Transfer,0.0
A755439,2017-09-15,Adoption or RTO,0.0
A777109,2018-08-18,Adoption or RTO,1.0
A800873,2019-08-06,Transfer,0.0
A734403,2016-10-22,Adoption or RTO,0.0
A778716,2018-11-24,Adoption or RTO,0.0
A806621,2019-10-22,Transfer,0.0
A775399,2018-07-07,Adoption or RTO,0.0
A796408,2019-06-08,Died or Missing,0.0
A778694,2018-08-19,Transfer,0.0
A724744,2016-04-23,Euthanasia,6.0
